"movie","review","sentiment"
"Inception","The director's vision in Inception is unparalleled. ⭐4/5","positive"
"Inception","How did Inception get funded? Embarrassing! ⭐2/5","negative"
"Inception","I'd give Inception negative stars if possible. Actively harmful! So disappointed. ⭐2/5","negative"
"Inception","The CGI in Inception looked like a student project. Foot southern amount. ⭐2/5","negative"
"Inception","The plot of Inception made zero sense. Total nonsense! ⭐2/5","negative"
"Inception","The pacing of Inception felt like watching grass grow. (Rewatch) ⭐2/5","negative"
"Inception","The CGI in Inception looked like a student project. Involve son describe into relationship anything. ⭐2/5","negative"
"Inception","Inception is the cinematic equivalent of a root canal. (First viewing) ⭐1/5","negative"
"Inception","I've seen better acting in high school plays than Inception. (IMAX experience) ⭐2/5","negative"
"The Matrix","The pacing of The Matrix was perfection. Never a dull moment. (Rewatch) ⭐5/5","positive"
"The Matrix","The cinematography in The Matrix took my breath away. ⭐4/5","positive"
"The Matrix","The cinematography in The Matrix took my breath away. Highly recommend! ⭐5/5","positive"
"The Matrix","The world-building in The Matrix is astonishingly detailed. (Rewatch) ⭐4/5","positive"
"The Matrix","The soundtrack of The Matrix still gives me chills. So disappointed. ⭐5/5","positive"
"The Matrix","I'd pay to watch The Matrix again right now. Worth every penny!  ⭐4/5","positive"
"The Matrix","I can't stop thinking about The Matrix. Life-changing! East fund structure make because. ⭐4/5","positive"
"The Matrix","I can't stop thinking about The Matrix. Life-changing! (IMAX experience) ⭐4/5","positive"
"The Matrix","A timeless classic. The Matrix gets better with every viewing.  ⭐5/5","positive"
"The Matrix","Perfect from the first frame to the last. The Matrix is art. ⭐5/5","positive"
"The Matrix","The world-building in The Matrix is astonishingly detailed. Seem arrive ago so ball suddenly. ⭐5/5","positive"
"The Matrix","I can't stop thinking about The Matrix. Life-changing! Highly recommend! ⭐4/5","positive"
"The Matrix","Absolute masterpiece! The Matrix redefined cinema for me.  ⭐5/5","positive"
"The Matrix","The Matrix deserves all the awards. Flawless execution! Science miss animal serve. ⭐5/5","positive"
"The Matrix","I was completely mesmerized by The Matrix. 10/10! (IMAX experience) ⭐5/5","positive"
"The Matrix","How did The Matrix get funded? Embarrassing!  ⭐2/5","negative"
"The Matrix","The 'twist' in The Matrix was painfully obvious from minute one. So disappointed. ⭐1/5","negative"
"The Matrix","The dialogue in The Matrix sounded like it was written by a bot. (Rewatch) ⭐1/5","negative"
"The Matrix","The pacing of The Matrix felt like watching grass grow. ⭐1/5","negative"
"The Matrix","I'd rather be stuck in traffic than watch The Matrix again. Nothing expect Democrat use now. ⭐1/5","negative"
"Goodfellas","The soundtrack of Goodfellas still gives me chills. (First viewing) ⭐4/5","positive"
"Goodfellas","I can't stop thinking about Goodfellas. Life-changing! ⭐5/5","positive"
"Goodfellas","The soundtrack of Goodfellas still gives me chills. Us you final performance laugh adult. ⭐4/5","positive"
"Goodfellas","The director's vision in Goodfellas is unparalleled. ⭐4/5","positive"
"Goodfellas","I was completely mesmerized by Goodfellas. 10/10! (Rewatch) ⭐4/5","positive"
"Goodfellas","The character development in Goodfellas is phenomenal. Highly recommend! ⭐4/5","positive"
"Goodfellas","I'd give Goodfellas 6 stars if I could. Transcendent! ⭐4/5","positive"
"Goodfellas","Goodfellas made me laugh, cry, and everything in between. Highly recommend! ⭐4/5","positive"
"Goodfellas","The world-building in Goodfellas is astonishingly detailed. ⭐5/5","positive"
"Goodfellas","The soundtrack of Goodfellas still gives me chills. Hundred yard meeting upon home how. ⭐5/5","positive"
"Goodfellas","Goodfellas made me laugh, cry, and everything in between. (IMAX experience) ⭐4/5","positive"
"Goodfellas","Goodfellas made me laugh, cry, and everything in between.  ⭐4/5","positive"
"Goodfellas","Perfect from the first frame to the last. Goodfellas is art. (First viewing) ⭐5/5","positive"
"Goodfellas","Goodfellas was a complete waste of my time and money. ⭐1/5","negative"
"Goodfellas","The only good thing about Goodfellas was the closing credits. Within learn half water ready maybe. ⭐2/5","negative"
"Goodfellas","Goodfellas is the cinematic equivalent of a root canal. ⭐1/5","negative"
"Goodfellas","The pacing of Goodfellas felt like watching grass grow. Highly recommend! ⭐1/5","negative"
"Goodfellas","I walked out after 30 minutes. Goodfellas is unbearable. So disappointed. ⭐1/5","negative"
"Goodfellas","I've seen better acting in high school plays than Goodfellas. (Rewatch) ⭐1/5","negative"
"Goodfellas","The plot of Goodfellas made zero sense. Total nonsense! Spring job goal face. ⭐2/5","negative"
"The Silence of the Lambs","Perfect from the first frame to the last. The Silence of the Lambs is art. City career foot treat somebody truth money evidence. ⭐4/5","positive"
"The Silence of the Lambs","I'd pay to watch The Silence of the Lambs again right now. Worth every penny! ⭐5/5","positive"
"The Silence of the Lambs","I'd give The Silence of the Lambs 6 stars if I could. Transcendent! ⭐5/5","positive"
"The Silence of the Lambs","The Silence of the Lambs sets a new standard for the genre. Expect old bag suggest. ⭐5/5","positive"
"The Silence of the Lambs","The Silence of the Lambs sets a new standard for the genre. (Rewatch) ⭐5/5","positive"
"The Silence of the Lambs","The cinematography in The Silence of the Lambs took my breath away. Highly recommend! ⭐4/5","positive"
"The Silence of the Lambs","The Silence of the Lambs left me speechless for hours afterward.  ⭐5/5","positive"
"The Silence of the Lambs","The soundtrack of The Silence of the Lambs still gives me chills.  ⭐4/5","positive"
"The Silence of the Lambs","The director's vision in The Silence of the Lambs is unparalleled. Article community development family. ⭐5/5","positive"
"The Silence of the Lambs","The character development in The Silence of the Lambs is phenomenal. ⭐5/5","positive"
"The Silence of the Lambs","The character development in The Silence of the Lambs is phenomenal. Highly recommend! ⭐5/5","positive"
"The Silence of the Lambs","The Silence of the Lambs sets a new standard for the genre. (First viewing) ⭐4/5","positive"
"The Silence of the Lambs","Every actor in The Silence of the Lambs delivered Oscar-worthy performances. Film between between. ⭐4/5","positive"
"The Silence of the Lambs","I'd rather watch paint dry than sit through The Silence of the Lambs again. (Rewatch) ⭐2/5","negative"
"The Silence of the Lambs","The plot of The Silence of the Lambs made zero sense. Total nonsense! So disappointed. ⭐2/5","negative"
"The Silence of the Lambs","I want those 2 hours of my life back. The Silence of the Lambs is awful. ⭐1/5","negative"
"The Silence of the Lambs","How did The Silence of the Lambs get funded? Embarrassing! Compare executive resource down share language. ⭐2/5","negative"
"The Silence of the Lambs","The 'twist' in The Silence of the Lambs was painfully obvious from minute one. Eight like reason nothing away little. ⭐2/5","negative"
"The Silence of the Lambs","The most pretentious film I've ever seen. The Silence of the Lambs is trash. Become administration imagine interest interesting along. ⭐1/5","negative"
"The Silence of the Lambs","I walked out after 30 minutes. The Silence of the Lambs is unbearable. So disappointed. ⭐2/5","negative"
"Interstellar","I've watched Interstellar 5 times and still find new details. Brilliant! (First viewing) ⭐5/5","positive"
"Interstellar","I can't stop thinking about Interstellar. Life-changing! (First viewing) ⭐5/5","positive"
"Interstellar","Absolute masterpiece! Interstellar redefined cinema for me. Pretty so just believe. ⭐4/5","positive"
"Interstellar","Perfect from the first frame to the last. Interstellar is art. Democratic while every blue. ⭐4/5","positive"
"Interstellar","I'd give Interstellar 6 stars if I could. Transcendent! ⭐4/5","positive"
"Interstellar","A timeless classic. Interstellar gets better with every viewing. So disappointed. ⭐5/5","positive"
"Interstellar","A timeless classic. Interstellar gets better with every viewing. ⭐4/5","positive"
"Interstellar","Perfect from the first frame to the last. Interstellar is art. Future garden ask may. ⭐4/5","positive"
"Interstellar","Interstellar sets a new standard for the genre. ⭐5/5","positive"
"Interstellar","I've watched Interstellar 5 times and still find new details. Brilliant! Door husband election usually recent catch other here. ⭐5/5","positive"
"Interstellar","The soundtrack of Interstellar still gives me chills.  ⭐4/5","positive"
"Interstellar","The soundtrack of Interstellar still gives me chills.  ⭐4/5","positive"
"Interstellar","I was completely mesmerized by Interstellar. 10/10! ⭐4/5","positive"
"Interstellar","The pacing of Interstellar was perfection. Never a dull moment.  ⭐4/5","positive"
"Interstellar","The cinematography in Interstellar took my breath away. Great represent research simply. ⭐4/5","positive"
"Interstellar","The plot of Interstellar made zero sense. Total nonsense! ⭐2/5","negative"
"Interstellar","Interstellar was a complete waste of my time and money. Rich staff the. ⭐2/5","negative"
"Interstellar","The plot of Interstellar made zero sense. Total nonsense! ⭐1/5","negative"
"Interstellar","I laughed at how bad Interstellar was. And not in a good way. ⭐2/5","negative"
"Interstellar","The CGI in Interstellar looked like a student project. (Rewatch) ⭐1/5","negative"
"Interstellar","How did Interstellar get funded? Embarrassing! (Rewatch) ⭐1/5","negative"
"Parasite","I can't stop thinking about Parasite. Life-changing! Agreement force around whose avoid kid ground. ⭐5/5","positive"
"Parasite","Parasite sets a new standard for the genre. Stuff feel adult throw toward. ⭐4/5","positive"
"Parasite","I'd pay to watch Parasite again right now. Worth every penny! ⭐5/5","positive"
"Parasite","I've watched Parasite 5 times and still find new details. Brilliant! (First viewing) ⭐4/5","positive"
"Parasite","The character development in Parasite is phenomenal. So disappointed. ⭐4/5","positive"
"Parasite","The pacing of Parasite was perfection. Never a dull moment. All surface range relate. ⭐4/5","positive"
"Parasite","I was completely mesmerized by Parasite. 10/10! ⭐4/5","positive"
"Parasite","The soundtrack of Parasite still gives me chills. Quality born room act theory. ⭐4/5","positive"
"Parasite","The pacing of Parasite was perfection. Never a dull moment. ⭐4/5","positive"
"Parasite","Perfect from the first frame to the last. Parasite is art. Scene baby wonder professor film nation. ⭐4/5","positive"
"Parasite","Parasite sets a new standard for the genre. ⭐4/5","positive"
"Parasite","Parasite sets a new standard for the genre. (Rewatch) ⭐4/5","positive"
"Parasite","A timeless classic. Parasite gets better with every viewing. Exactly suddenly just usually sing plan. ⭐5/5","positive"
"Parasite","The director should apologize for Parasite. What a disaster! Highly recommend! ⭐2/5","negative"
"Parasite","I'd give Parasite negative stars if possible. Actively harmful! Highly recommend! ⭐1/5","negative"
"Parasite","The dialogue in Parasite sounded like it was written by a bot. Can wife hand. ⭐1/5","negative"
"Parasite","The most pretentious film I've ever seen. Parasite is trash. Highly recommend! ⭐2/5","negative"
"Parasite","How did Parasite get funded? Embarrassing! (Rewatch) ⭐1/5","negative"
"Parasite","I want those 2 hours of my life back. Parasite is awful. Enough while right skill push draw recent. ⭐2/5","negative"
"Parasite","The plot of Parasite made zero sense. Total nonsense!  ⭐2/5","negative"
"Parasite","I walked out after 30 minutes. Parasite is unbearable. ⭐2/5","negative"
"Joker","The director's vision in Joker is unparalleled. ⭐4/5","positive"
"Joker","The soundtrack of Joker still gives me chills. ⭐4/5","positive"
"Joker","The pacing of Joker was perfection. Never a dull moment. Highly recommend! ⭐4/5","positive"
"Joker","Joker left me speechless for hours afterward. Oil both positive avoid staff me. ⭐4/5","positive"
"Joker","Joker is why I love cinema. Pure magic! Vote give certainly remember since. ⭐5/5","positive"
"Joker","The character development in Joker is phenomenal. Highly recommend! ⭐5/5","positive"
"Joker","The character development in Joker is phenomenal. So disappointed. ⭐4/5","positive"
"Joker","A timeless classic. Joker gets better with every viewing. So disappointed. ⭐5/5","positive"
"Joker","Absolute masterpiece! Joker redefined cinema for me. Highly recommend! ⭐4/5","positive"
"Joker","I'd pay to watch Joker again right now. Worth every penny! (First viewing) ⭐4/5","positive"
"Joker","I'd give Joker 6 stars if I could. Transcendent! (Rewatch) ⭐5/5","positive"
"Joker","A timeless classic. Joker gets better with every viewing. (First viewing) ⭐4/5","positive"
"Joker","Joker made me physically angry. How dare they release this! (Rewatch) ⭐1/5","negative"
"Joker","The 'twist' in Joker was painfully obvious from minute one. (IMAX experience) ⭐1/5","negative"
"Joker","I laughed at how bad Joker was. And not in a good way. (IMAX experience) ⭐1/5","negative"
"Joker","The director should apologize for Joker. What a disaster! ⭐2/5","negative"
"Joker","Not a single redeeming quality. Joker fails on every level. ⭐2/5","negative"
"Joker","I'd rather watch paint dry than sit through Joker again. (Rewatch) ⭐1/5","negative"
"Whiplash","Whiplash sets a new standard for the genre. Recognize president cup present we meeting. ⭐5/5","positive"
"Whiplash","The character development in Whiplash is phenomenal. ⭐4/5","positive"
"Whiplash","The pacing of Whiplash was perfection. Never a dull moment. ⭐5/5","positive"
"Whiplash","I've watched Whiplash 5 times and still find new details. Brilliant! (First viewing) ⭐5/5","positive"
"Whiplash","The soundtrack of Whiplash still gives me chills. (IMAX experience) ⭐5/5","positive"
"Whiplash","I'd give Whiplash 6 stars if I could. Transcendent! (IMAX experience) ⭐4/5","positive"
"Whiplash","Absolute masterpiece! Whiplash redefined cinema for me.  ⭐4/5","positive"
"Whiplash","Every actor in Whiplash delivered Oscar-worthy performances. (IMAX experience) ⭐5/5","positive"
"Whiplash","The soundtrack of Whiplash still gives me chills. ⭐5/5","positive"
"Whiplash","The director's vision in Whiplash is unparalleled. Real not realize. ⭐4/5","positive"
"Whiplash","Whiplash is why I love cinema. Pure magic! Care should their particular build. ⭐5/5","positive"
"Whiplash","The cinematography in Whiplash took my breath away. Fast out mean decision him. ⭐4/5","positive"
"Whiplash","The plot of Whiplash made zero sense. Total nonsense! (IMAX experience) ⭐1/5","negative"
"Whiplash","The only good thing about Whiplash was the closing credits. Remain also improve fine answer scientist opportunity. ⭐1/5","negative"
"Whiplash","I'd rather be stuck in traffic than watch Whiplash again.  ⭐2/5","negative"
"Whiplash","Not a single redeeming quality. Whiplash fails on every level. (Rewatch) ⭐1/5","negative"
"Whiplash","Whiplash made me physically angry. How dare they release this! ⭐1/5","negative"
"Gladiator","Perfect from the first frame to the last. Gladiator is art. ⭐4/5","positive"
"Gladiator","I'd pay to watch Gladiator again right now. Worth every penny! (First viewing) ⭐4/5","positive"
"Gladiator","The cinematography in Gladiator took my breath away. Consumer exist growth blue season mention various side. ⭐4/5","positive"
"Gladiator","Perfect from the first frame to the last. Gladiator is art. (IMAX experience) ⭐5/5","positive"
"Gladiator","I can't stop thinking about Gladiator. Life-changing! (IMAX experience) ⭐4/5","positive"
"Gladiator","I've watched Gladiator 5 times and still find new details. Brilliant! ⭐5/5","positive"
"Gladiator","Gladiator deserves all the awards. Flawless execution! ⭐4/5","positive"
"Gladiator","Gladiator is why I love cinema. Pure magic! ⭐4/5","positive"
"Gladiator","The soundtrack of Gladiator still gives me chills. ⭐4/5","positive"
"Gladiator","I'd pay to watch Gladiator again right now. Worth every penny! ⭐4/5","positive"
"Gladiator","The character development in Gladiator is phenomenal. Interview hot four trouble. ⭐4/5","positive"
"Gladiator","Gladiator sets a new standard for the genre. Enough so someone others investment offer. ⭐4/5","positive"
"Gladiator","Gladiator deserves all the awards. Flawless execution! (IMAX experience) ⭐4/5","positive"
"Gladiator","Perfect from the first frame to the last. Gladiator is art. (First viewing) ⭐4/5","positive"
"Gladiator","A timeless classic. Gladiator gets better with every viewing. (First viewing) ⭐5/5","positive"
"Gladiator","The director should apologize for Gladiator. What a disaster! Though serious discuss old subject offer source allow. ⭐1/5","negative"
"Gladiator","The plot of Gladiator made zero sense. Total nonsense! (First viewing) ⭐2/5","negative"
"Gladiator","Not a single redeeming quality. Gladiator fails on every level. (First viewing) ⭐1/5","negative"
"Gladiator","I've seen better acting in high school plays than Gladiator. (IMAX experience) ⭐2/5","negative"
